epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.593,3.5908,2.58543,1.45183,0.21676,0.16684,0.12178,0.03991,3.08817,1.996,1.17705,0.000659864,0.000659864,0.000659864
2,240.751,3.13201,1.85762,1.15596,0.18192,0.25402,0.1463,0.04735,2.93498,1.83709,1.10448,0.0013134,0.0013134,0.0013134
3,350.234,3.08726,1.84701,1.14153,0.264,0.23209,0.17481,0.05454,3.07237,1.77093,1.09837,0.00195373,0.00195373,0.00195373
4,498.997,3.00346,1.77482,1.12908,0.26883,0.25973,0.19295,0.06167,2.85314,1.70958,1.07017,0.0019406,0.0019406,0.0019406
5,604.083,2.98402,1.77967,1.12421,0.30029,0.24136,0.20677,0.06529,2.86923,1.66324,1.08056,0.0019208,0.0019208,0.0019208
6,703.695,2.96705,1.75433,1.10487,0.28849,0.24489,0.19915,0.06292,2.88941,1.68421,1.07288,0.001901,0.001901,0.001901
7,894.014,2.95623,1.7437,1.10545,0.28876,0.25755,0.2076,0.06757,2.84742,1.66797,1.06337,0.0018812,0.0018812,0.0018812
8,996.261,2.9458,1.73122,1.10004,0.34195,0.28046,0.24014,0.07569,2.79858,1.62119,1.08568,0.0018614,0.0018614,0.0018614
9,1098.71,2.91285,1.72254,1.09867,0.32683,0.26761,0.22915,0.07518,2.75523,1.61676,1.07197,0.0018416,0.0018416,0.0018416
10,1234.73,2.85863,1.6694,1.09582,0.34795,0.27508,0.24579,0.08022,2.76018,1.57988,1.07194,0.0018218,0.0018218,0.0018218
11,1334.07,2.88911,1.67785,1.08246,0.32016,0.27053,0.22864,0.07194,2.85273,1.6902,1.06113,0.001802,0.001802,0.001802
12,1465.28,2.86141,1.67554,1.08683,0.3409,0.28445,0.24278,0.078,2.77108,1.63556,1.07687,0.0017822,0.0017822,0.0017822
13,1566.47,2.85886,1.64746,1.09048,0.34798,0.27443,0.24641,0.07902,2.79689,1.59522,1.08616,0.0017624,0.0017624,0.0017624
14,1667.1,2.81813,1.65475,1.09085,0.361,0.2793,0.25721,0.08229,2.76124,1.58921,1.06063,0.0017426,0.0017426,0.0017426
15,1774.8,2.8632,1.65932,1.08917,0.30198,0.26079,0.21478,0.068,2.86766,1.68472,1.05659,0.0017228,0.0017228,0.0017228
16,1891.92,2.837,1.64288,1.08096,0.36353,0.28672,0.262,0.0859,2.77166,1.59814,1.07258,0.001703,0.001703,0.001703
17,1992.22,2.8041,1.63161,1.08323,0.34806,0.29512,0.25965,0.08467,2.69673,1.57552,1.03642,0.0016832,0.0016832,0.0016832
18,2093.18,2.81705,1.63396,1.07441,0.33423,0.28252,0.24724,0.07785,2.79615,1.62198,1.05113,0.0016634,0.0016634,0.0016634
19,2201.12,2.78564,1.60258,1.08266,0.33074,0.28143,0.24796,0.08152,2.74523,1.58277,1.05408,0.0016436,0.0016436,0.0016436
