epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.3718,2.21756,2.45487,1.99319,0.40219,0.34459,0.31311,0.10722,2.08361,2.22448,1.97854,0.00332857,0.00332857,0.00332857
2,157.359,2.06952,2.12988,1.78448,0.38247,0.35208,0.2997,0.09604,2.12496,2.37083,1.8393,0.00665936,0.00665936,0.00665936
3,231.921,2.07919,2.14476,1.7919,0.38685,0.34613,0.29382,0.10069,2.11073,2.24609,1.89772,0.00997999,0.00997999,0.00997999
4,305.43,2.09358,2.15275,1.80631,0.41516,0.37029,0.32898,0.11222,2.12832,2.18899,1.86286,0.00996569,0.00996569,0.00996569
5,378.982,2.07211,2.10076,1.78652,0.45997,0.38388,0.36441,0.12385,2.10448,2.19388,1.82117,0.00993906,0.00993906,0.00993906
6,452.343,2.05636,2.08118,1.77527,0.48101,0.39828,0.3911,0.14196,2.06387,2.03109,1.87882,0.00990489,0.00990489,0.00990489
7,526.005,2.04657,2.04667,1.7699,0.46074,0.40126,0.38319,0.13252,2.11057,2.13552,1.77429,0.00986323,0.00986323,0.00986323
8,599.29,2.03079,2.02553,1.75323,0.45386,0.41132,0.39774,0.14629,2.03787,2.02366,1.81569,0.00981415,0.00981415,0.00981415
9,672.136,2.02353,2.00745,1.74773,0.48724,0.40508,0.40269,0.14784,2.04147,2.01446,1.85071,0.00975773,0.00975773,0.00975773
10,745.801,2.02151,1.986,1.7421,0.49457,0.41808,0.41428,0.1481,2.04511,2.02392,1.74063,0.00969405,0.00969405,0.00969405
11,818.76,2.00572,1.97602,1.74261,0.52093,0.43341,0.44431,0.16124,2.04529,1.96528,1.78171,0.0096232,0.0096232,0.0096232
12,892.247,2.00322,1.96169,1.73124,0.5191,0.44385,0.45142,0.16736,2.00642,1.94357,1.78682,0.00954531,0.00954531,0.00954531
13,965.844,1.99402,1.94085,1.72435,0.51603,0.44208,0.4555,0.16791,2.02798,1.91425,1.83411,0.00946048,0.00946048,0.00946048
14,1039.41,1.99086,1.92331,1.72125,0.52187,0.44455,0.45371,0.16833,2.01424,1.90801,1.80917,0.00936886,0.00936886,0.00936886
15,1112.65,1.98681,1.91652,1.7254,0.52,0.44898,0.45944,0.16899,2.02504,1.94524,1.78562,0.00927057,0.00927057,0.00927057
16,1185.6,1.98174,1.90188,1.71433,0.54702,0.44688,0.47169,0.17733,2.02924,1.85714,1.82246,0.00916577,0.00916577,0.00916577
17,1258.64,1.97259,1.89084,1.71729,0.55064,0.45946,0.48,0.17843,2.01544,1.8612,1.80158,0.00905463,0.00905463,0.00905463
18,1331.3,1.97304,1.88183,1.70733,0.5498,0.46445,0.48444,0.182,2.00587,1.84914,1.7886,0.00893732,0.00893732,0.00893732
19,1404.48,1.96788,1.87231,1.70162,0.54165,0.47367,0.48533,0.18012,2.01347,1.86133,1.7574,0.00881401,0.00881401,0.00881401
20,1477.56,1.96379,1.85318,1.70469,0.56396,0.47679,0.49801,0.18731,2.00953,1.82195,1.8214,0.0086849,0.0086849,0.0086849
21,1550.82,1.95347,1.84482,1.69637,0.5494,0.47176,0.48683,0.18267,2.00904,1.83204,1.80598,0.00855018,0.00855018,0.00855018
22,1624.53,1.95131,1.83175,1.69572,0.56379,0.48435,0.50411,0.19009,2.00509,1.80769,1.78681,0.00841006,0.00841006,0.00841006
23,1697.66,1.94857,1.81374,1.6803,0.55947,0.48546,0.50594,0.19114,2.01836,1.78363,1.7768,0.00826477,0.00826477,0.00826477
24,1770.99,1.94101,1.79237,1.67403,0.56927,0.49315,0.51277,0.19411,2.01191,1.78203,1.7544,0.00811452,0.00811452,0.00811452
25,1844.52,1.94769,1.79118,1.66849,0.5633,0.4979,0.51691,0.19543,2.0212,1.7526,1.76897,0.00795954,0.00795954,0.00795954
26,1917.32,1.93743,1.77717,1.67127,0.57215,0.50042,0.52094,0.19693,2.01405,1.74973,1.7874,0.00780007,0.00780007,0.00780007
27,1990.55,1.93319,1.76317,1.66662,0.55731,0.50182,0.51613,0.19605,2.01268,1.74485,1.77238,0.00763637,0.00763637,0.00763637
28,2063.54,1.92714,1.75049,1.65842,0.56628,0.50382,0.52398,0.19867,2.02781,1.72197,1.77782,0.00746868,0.00746868,0.00746868
29,2136.3,1.91904,1.73988,1.65114,0.57959,0.4972,0.52258,0.20036,2.00386,1.73216,1.76444,0.00729725,0.00729725,0.00729725
30,2208.7,1.91739,1.72819,1.64892,0.57923,0.51249,0.53031,0.20089,2.02353,1.70197,1.77843,0.00712237,0.00712237,0.00712237
31,2281.55,1.912,1.71656,1.64821,0.57372,0.5151,0.53083,0.20174,2.02113,1.70157,1.76555,0.00694428,0.00694428,0.00694428
32,2354.23,1.90687,1.70222,1.63893,0.58168,0.50845,0.53053,0.20281,2.01809,1.70332,1.78737,0.00676328,0.00676328,0.00676328
33,2427.14,1.90494,1.69549,1.64457,0.57863,0.51901,0.53647,0.20573,2.02202,1.67756,1.78549,0.00657963,0.00657963,0.00657963
34,2500.17,1.90006,1.67786,1.63789,0.58575,0.5146,0.539,0.20683,2.02119,1.67381,1.76721,0.00639363,0.00639363,0.00639363
35,2572.44,1.89526,1.67203,1.62886,0.58026,0.52482,0.54258,0.20884,2.02917,1.65246,1.76287,0.00620555,0.00620555,0.00620555
36,2645.39,1.8854,1.6535,1.62415,0.58192,0.5254,0.54478,0.20901,2.0193,1.663,1.75545,0.0060157,0.0060157,0.0060157
37,2718.54,1.88879,1.64513,1.62754,0.57866,0.52987,0.54564,0.20914,2.03473,1.6425,1.77951,0.00582435,0.00582435,0.00582435
38,2790.89,1.87987,1.63265,1.62653,0.5893,0.53048,0.54875,0.20883,2.03645,1.6319,1.7756,0.00563181,0.00563181,0.00563181
39,2863.47,1.8775,1.61409,1.61297,0.58307,0.53521,0.55219,0.21225,2.03057,1.62676,1.77402,0.00543837,0.00543837,0.00543837
40,2936.1,1.8691,1.59829,1.60737,0.59065,0.53942,0.55613,0.21354,2.03231,1.61374,1.77286,0.00524434,0.00524434,0.00524434
41,3008.96,1.86555,1.59231,1.60482,0.58791,0.53993,0.55423,0.21313,2.0335,1.60806,1.771,0.00505,0.00505,0.00505
42,3081.42,1.85628,1.57041,1.59514,0.58357,0.54711,0.55518,0.21334,2.03567,1.60785,1.76434,0.00485566,0.00485566,0.00485566
43,3154.17,1.8503,1.56219,1.59224,0.59188,0.5405,0.56337,0.21725,2.03072,1.59788,1.76686,0.00466163,0.00466163,0.00466163
44,3226.99,1.84539,1.54578,1.58554,0.59308,0.53967,0.56182,0.21713,2.03712,1.5924,1.76893,0.00446819,0.00446819,0.00446819
45,3299.11,1.83885,1.53419,1.58275,0.59241,0.54226,0.55915,0.21724,2.038,1.58715,1.76768,0.00427565,0.00427565,0.00427565
46,3371.24,1.83381,1.51885,1.57876,0.58795,0.54571,0.56288,0.21793,2.04267,1.57068,1.77763,0.0040843,0.0040843,0.0040843
