epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.481,2.20371,2.3533,1.9977,0.33956,0.31324,0.25277,0.07994,2.20671,2.54926,2.03238,0.00066573,0.00066573,0.00066573
2,241.6,2.15088,2.26444,1.94093,0.3843,0.32646,0.2801,0.09179,2.16743,2.40799,2.00503,0.00133207,0.00133207,0.00133207
3,357.055,2.1328,2.22935,1.91264,0.42755,0.34787,0.33117,0.11449,2.0923,2.21157,1.91882,0.00199711,0.00199711,0.00199711
4,471.706,2.10094,2.17509,1.89341,0.45656,0.38946,0.37047,0.12861,2.08193,2.13468,1.93922,0.00199561,0.00199561,0.00199561
5,585.888,2.092,2.13581,1.88219,0.43063,0.37643,0.35698,0.12921,2.06043,2.10434,1.9967,0.00199219,0.00199219,0.00199219
6,700.848,2.07687,2.10316,1.85693,0.45376,0.40215,0.38106,0.13165,2.09618,2.13751,1.88225,0.00198781,0.00198781,0.00198781
7,815.159,2.05894,2.07668,1.85133,0.44359,0.37127,0.35636,0.13023,2.04972,2.09505,1.94939,0.00198246,0.00198246,0.00198246
8,929.176,2.05727,2.04779,1.84313,0.48694,0.41281,0.40897,0.14573,2.06146,2.02769,1.90389,0.00197616,0.00197616,0.00197616
9,1043.26,2.04994,2.04135,1.83278,0.47793,0.40585,0.39813,0.14299,2.04622,2.05301,1.89185,0.0019689,0.0019689,0.0019689
10,1157.46,2.04674,2.0144,1.82697,0.45307,0.37532,0.36927,0.13804,2.06478,2.0482,1.93504,0.00196069,0.00196069,0.00196069
11,1272.12,2.035,1.99472,1.82409,0.47316,0.40735,0.4,0.14509,2.05495,2.0437,1.87395,0.00195155,0.00195155,0.00195155
12,1386.96,2.02671,1.97584,1.82137,0.45703,0.42105,0.3993,0.14564,2.02441,2.07692,1.88611,0.00194147,0.00194147,0.00194147
13,1502.21,2.025,1.96064,1.80814,0.44871,0.41753,0.37621,0.13152,2.04586,2.1238,1.89336,0.00193048,0.00193048,0.00193048
14,1616.07,2.01772,1.94643,1.80725,0.4969,0.44405,0.43752,0.15973,2.04441,1.96244,1.89283,0.00191858,0.00191858,0.00191858
15,1730.61,2.01552,1.93552,1.80872,0.50255,0.44059,0.44282,0.16354,2.02631,1.94075,1.89784,0.00190578,0.00190578,0.00190578
16,1844.79,2.00635,1.90826,1.80534,0.52472,0.46136,0.46754,0.17196,2.03461,1.88899,1.89764,0.0018921,0.0018921,0.0018921
17,1959.28,2.00696,1.89986,1.79797,0.52186,0.44889,0.45858,0.17136,2.01491,1.89586,1.87679,0.00187754,0.00187754,0.00187754
18,2072.57,1.99448,1.88221,1.79734,0.51783,0.43092,0.43756,0.16054,2.07093,1.92167,1.95851,0.00186213,0.00186213,0.00186213
19,2186.22,1.99259,1.85956,1.78549,0.53731,0.47863,0.47551,0.17721,2.02859,1.84974,1.92223,0.00184588,0.00184588,0.00184588
