epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.677,2.11641,2.28627,1.98572,0.317,0.25523,0.20574,0.06006,2.32971,2.56153,2.07449,0.0669126,0.000199723,0.000199723
2,444.095,2.07074,2.18682,1.94027,0.41027,0.32382,0.30789,0.10692,2.13987,2.23329,1.93554,0.0337792,0.000399655,0.000399655
3,661.006,2.04771,2.13614,1.91232,0.45607,0.37956,0.36952,0.1331,2.0486,2.2481,1.98257,0.000645548,0.000599316,0.000599316
4,875.031,2.02948,2.09873,1.9061,0.48967,0.42339,0.41747,0.14679,2.08481,2.05708,1.90797,0.000599084,0.000599084,0.000599084
5,1089.41,2.01769,2.05731,1.89586,0.49301,0.41883,0.41152,0.15073,2.03059,2.01114,1.95664,0.000598373,0.000598373,0.000598373
6,1303.6,1.9967,2.01552,1.86826,0.49161,0.41869,0.42357,0.15485,2.05913,2.02061,1.89751,0.000597459,0.000597459,0.000597459
7,1517.16,1.98752,1.98121,1.86464,0.51861,0.42303,0.43353,0.15959,2.02756,1.96732,1.93642,0.000596343,0.000596343,0.000596343
8,1731,1.98419,1.9656,1.85345,0.5209,0.43014,0.44176,0.16447,2.0303,1.94984,1.89789,0.000595027,0.000595027,0.000595027
9,1944.35,1.97256,1.93581,1.84776,0.52651,0.43505,0.44779,0.1645,2.051,1.92948,1.91255,0.00059351,0.00059351,0.00059351
10,2158.48,1.966,1.89571,1.84828,0.54681,0.47393,0.48412,0.17892,2.03157,1.84818,1.93066,0.000591794,0.000591794,0.000591794
11,2372.74,1.95358,1.85676,1.83987,0.54581,0.49031,0.49319,0.18172,2.04743,1.84064,1.93063,0.00058988,0.00058988,0.00058988
12,2586.62,1.94891,1.83493,1.82337,0.5655,0.49405,0.50563,0.18979,2.02682,1.8147,1.91208,0.000587769,0.000587769,0.000587769
13,2799.93,1.93955,1.80909,1.8187,0.58123,0.50219,0.52126,0.19902,2.02281,1.75346,1.9114,0.000585464,0.000585464,0.000585464
14,3013.97,1.93365,1.77427,1.81345,0.57536,0.50738,0.52155,0.20015,2.00707,1.75353,1.91159,0.000582965,0.000582965,0.000582965
15,3227.93,1.91847,1.7435,1.81184,0.58212,0.51298,0.52824,0.20269,2.00508,1.73987,1.89593,0.000580273,0.000580273,0.000580273
16,3442.6,1.91953,1.7244,1.80592,0.57181,0.50612,0.51978,0.19946,2.00706,1.75531,1.89177,0.000577392,0.000577392,0.000577392
17,3655.95,1.91154,1.69289,1.79908,0.58641,0.53091,0.54083,0.20976,2.01555,1.68377,1.88609,0.000574323,0.000574323,0.000574323
18,3869.37,1.89236,1.65866,1.78905,0.59007,0.51945,0.53767,0.20895,2.02743,1.68291,1.92198,0.000571068,0.000571068,0.000571068
19,4082.7,1.8801,1.60471,1.77666,0.583,0.54885,0.55261,0.21456,2.03756,1.62624,1.92239,0.000567629,0.000567629,0.000567629
20,4296.04,1.87587,1.58372,1.77158,0.59766,0.5476,0.5612,0.22154,2.01328,1.60097,1.92026,0.000564009,0.000564009,0.000564009
21,4509.09,1.85505,1.54047,1.76621,0.60454,0.55642,0.56617,0.22508,2.01137,1.57381,1.91609,0.00056021,0.00056021,0.00056021
22,4722.4,1.84278,1.50021,1.75757,0.60551,0.56072,0.57307,0.22755,2.01517,1.56219,1.90578,0.000556234,0.000556234,0.000556234
23,4935.22,1.81362,1.44912,1.73833,0.609,0.57039,0.57757,0.23183,2.01719,1.5176,1.92163,0.000552085,0.000552085,0.000552085
24,5148.21,1.80012,1.41979,1.7285,0.61255,0.57014,0.58593,0.23714,2.01395,1.49527,1.91589,0.000547765,0.000547765,0.000547765
25,5361.2,1.78115,1.37661,1.71526,0.62134,0.5816,0.59606,0.24839,1.98984,1.46186,1.91366,0.000543278,0.000543278,0.000543278
26,5573.52,1.76651,1.3461,1.70406,0.63773,0.57785,0.60323,0.25229,1.98495,1.43343,1.92692,0.000538626,0.000538626,0.000538626
27,5786.05,1.7529,1.31303,1.69022,0.63885,0.5886,0.61131,0.25701,1.97967,1.41395,1.89677,0.000533812,0.000533812,0.000533812
28,5999.27,1.7236,1.2747,1.67104,0.639,0.5863,0.61103,0.25832,1.98376,1.39586,1.89728,0.000528841,0.000528841,0.000528841
29,6212.61,1.72039,1.26364,1.67092,0.61896,0.58475,0.59755,0.25067,2.00755,1.42033,1.91899,0.000523714,0.000523714,0.000523714
30,6424.71,1.69723,1.23851,1.65318,0.65165,0.58974,0.62008,0.26774,1.96213,1.37128,1.89156,0.000518436,0.000518436,0.000518436
31,6637.35,1.69381,1.21901,1.65,0.64831,0.60714,0.63046,0.27494,1.96245,1.33522,1.91111,0.000513011,0.000513011,0.000513011
32,6850.48,1.6807,1.19831,1.64269,0.64481,0.60579,0.62893,0.27786,1.94164,1.33483,1.89897,0.000507441,0.000507441,0.000507441
33,7063.32,1.65234,1.15838,1.62333,0.6536,0.60847,0.63522,0.28251,1.95371,1.31144,1.8997,0.000501732,0.000501732,0.000501732
34,7276.5,1.63964,1.15027,1.61257,0.66172,0.61704,0.64568,0.29351,1.92773,1.2831,1.88461,0.000495886,0.000495886,0.000495886
35,7489.46,1.61716,1.11118,1.59813,0.66631,0.61447,0.6464,0.29646,1.91142,1.27293,1.8792,0.000489908,0.000489908,0.000489908
36,7702.06,1.61024,1.10027,1.59664,0.66049,0.61775,0.64951,0.2958,1.91657,1.27213,1.88727,0.000483802,0.000483802,0.000483802
37,7914.17,1.58703,1.07721,1.57974,0.66936,0.62447,0.65982,0.30558,1.89988,1.2425,1.87539,0.000477572,0.000477572,0.000477572
38,8126.46,1.56244,1.04782,1.56238,0.67782,0.62472,0.66224,0.31346,1.8852,1.22287,1.86533,0.000471223,0.000471223,0.000471223
39,8338.67,1.54081,1.0216,1.55246,0.6878,0.63105,0.67024,0.31697,1.87711,1.212,1.86677,0.000464758,0.000464758,0.000464758
40,8551.02,1.5452,1.02641,1.55209,0.67655,0.63286,0.66838,0.31796,1.87375,1.20164,1.87717,0.000458182,0.000458182,0.000458182
41,8763.31,1.51441,0.98982,1.53218,0.69375,0.62578,0.67114,0.32401,1.86375,1.19381,1.86444,0.0004515,0.0004515,0.0004515
42,8975.77,1.49121,0.9699,1.51678,0.69059,0.63586,0.67886,0.32717,1.86372,1.18047,1.86325,0.000444716,0.000444716,0.000444716
43,9188.01,1.49412,0.96375,1.51632,0.69155,0.63883,0.68046,0.33252,1.85114,1.16357,1.86031,0.000437835,0.000437835,0.000437835
44,9400.18,1.46863,0.93703,1.5001,0.69664,0.63855,0.68332,0.3362,1.84388,1.15888,1.85732,0.000430862,0.000430862,0.000430862
45,9612.44,1.45557,0.93156,1.48649,0.69229,0.6436,0.68764,0.34274,1.83249,1.14773,1.84188,0.000423801,0.000423801,0.000423801
46,9824.91,1.44893,0.91611,1.48596,0.70238,0.64134,0.6916,0.3455,1.82205,1.13881,1.83756,0.000416657,0.000416657,0.000416657
47,10037.3,1.4359,0.90645,1.47019,0.71111,0.63918,0.69293,0.35041,1.81013,1.12098,1.82707,0.000409435,0.000409435,0.000409435
48,10249.4,1.41261,0.88252,1.45167,0.71388,0.64845,0.69886,0.35439,1.81248,1.11365,1.83348,0.000402141,0.000402141,0.000402141
49,10461.8,1.40395,0.87206,1.45257,0.7097,0.65268,0.69983,0.3584,1.79717,1.10791,1.83079,0.000394778,0.000394778,0.000394778
50,10674.1,1.38947,0.86255,1.44314,0.71876,0.6475,0.70272,0.36272,1.79011,1.0959,1.83004,0.000387353,0.000387353,0.000387353
