epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.446,1.18839,0.72296,1.29496,0.66332,0.59709,0.6345,0.31871,1.86913,1.2437,1.96163,0.0667961,8.32178e-05,8.32178e-05
2,437.688,1.04221,0.59307,1.21513,0.74516,0.6586,0.71973,0.40987,1.67296,1.00452,1.84016,0.033546,0.000166388,0.000166388
3,649.875,0.99526,0.56022,1.18561,0.75482,0.67512,0.73525,0.436,1.61969,1.00794,1.79876,0.000295141,0.000248909,0.000248909
4,861.613,0.98507,0.54712,1.17929,0.76565,0.67059,0.73541,0.43412,1.6219,1.01739,1.82462,0.000247808,0.000247808,0.000247808
5,1073.04,0.98675,0.54831,1.17664,0.76579,0.67459,0.74367,0.4467,1.60526,0.9995,1.82074,0.000246112,0.000246112,0.000246112
6,1284.74,0.97292,0.53604,1.16722,0.76421,0.67154,0.73732,0.4374,1.61192,0.99684,1.79814,0.000243943,0.000243943,0.000243943
7,1496.17,0.98825,0.55169,1.17611,0.77305,0.66398,0.73838,0.44266,1.59722,1.00293,1.80133,0.00024131,0.00024131,0.00024131
8,1707.59,1.00115,0.55665,1.18486,0.75421,0.67975,0.73925,0.44228,1.6185,0.99445,1.82503,0.000238222,0.000238222,0.000238222
9,1919.18,0.98944,0.54554,1.1727,0.77751,0.66592,0.73837,0.44003,1.60436,0.98332,1.77724,0.000234693,0.000234693,0.000234693
10,2130.96,0.98407,0.5428,1.16743,0.76412,0.6754,0.74155,0.44588,1.60439,0.99736,1.78875,0.000230736,0.000230736,0.000230736
11,2342.64,0.99215,0.55143,1.18725,0.78045,0.66585,0.74264,0.45062,1.5973,0.99054,1.79326,0.000226366,0.000226366,0.000226366
12,2554.45,0.9783,0.54093,1.16882,0.78147,0.66168,0.74155,0.45075,1.59387,1.00508,1.79772,0.000221601,0.000221601,0.000221601
13,2766.31,0.98152,0.54806,1.17717,0.77829,0.67261,0.74597,0.45575,1.58556,1.00254,1.79818,0.00021646,0.00021646,0.00021646
14,2978.13,0.97814,0.54436,1.17869,0.7685,0.67024,0.73924,0.44488,1.58501,0.97517,1.78125,0.000210963,0.000210963,0.000210963
15,3189.73,0.96451,0.53358,1.17109,0.77818,0.67501,0.7462,0.45391,1.57399,0.99604,1.78478,0.000205131,0.000205131,0.000205131
16,3401.64,0.95645,0.526,1.15758,0.78289,0.67484,0.75046,0.45942,1.56689,0.98372,1.79612,0.000198988,0.000198988,0.000198988
17,3613.37,0.96167,0.5318,1.15969,0.78001,0.6731,0.74462,0.4515,1.56793,0.97677,1.76297,0.000192559,0.000192559,0.000192559
18,3825.02,0.96524,0.53695,1.16729,0.78694,0.66642,0.74681,0.45722,1.57887,0.98504,1.79988,0.000185867,0.000185867,0.000185867
19,4036.72,0.94491,0.52137,1.15197,0.79085,0.67087,0.75067,0.46761,1.54943,0.98282,1.76957,0.00017894,0.00017894,0.00017894
20,4248.85,0.94774,0.52358,1.14596,0.78652,0.67328,0.74935,0.4625,1.54629,0.96098,1.76122,0.000171805,0.000171805,0.000171805
21,4460.88,0.93272,0.51486,1.14012,0.78724,0.66968,0.749,0.46214,1.54866,0.94893,1.77529,0.000164491,0.000164491,0.000164491
22,4672.86,0.9286,0.51172,1.13526,0.79684,0.66869,0.75347,0.47244,1.52941,0.95465,1.75627,0.000157025,0.000157025,0.000157025
23,4885,0.91699,0.50048,1.13229,0.78863,0.67158,0.75001,0.46672,1.54069,0.95985,1.7565,0.000149438,0.000149438,0.000149438
24,5096.86,0.9043,0.48956,1.12085,0.79245,0.67314,0.75089,0.47118,1.52842,0.97578,1.76186,0.00014176,0.00014176,0.00014176
25,5308.77,0.89852,0.49026,1.11822,0.78027,0.68267,0.75441,0.4773,1.51838,0.97291,1.76584,0.00013402,0.00013402,0.00013402
26,5521.08,0.9003,0.49349,1.12309,0.78532,0.67629,0.75244,0.4758,1.51695,0.96126,1.77932,0.00012625,0.00012625,0.00012625
27,5732.81,0.8869,0.48267,1.11525,0.79777,0.67282,0.75763,0.48402,1.50492,0.96759,1.76397,0.00011848,0.00011848,0.00011848
28,5944.79,0.87597,0.47418,1.10739,0.79752,0.67837,0.7607,0.48434,1.51169,0.95001,1.77668,0.00011074,0.00011074,0.00011074
29,6157.16,0.87933,0.48276,1.1096,0.79909,0.67413,0.75661,0.4802,1.50409,0.94952,1.76498,0.000103062,0.000103062,0.000103062
30,6369.23,0.85799,0.46717,1.09772,0.79708,0.67823,0.76103,0.48962,1.49108,0.95069,1.76226,9.54746e-05,9.54746e-05,9.54746e-05
31,6581.59,0.85201,0.46411,1.09664,0.78832,0.68584,0.7619,0.49437,1.48288,0.95912,1.76366,8.80091e-05,8.80091e-05,8.80091e-05
32,6793.74,0.84807,0.46,1.09459,0.80017,0.67685,0.75939,0.49231,1.48032,0.9761,1.75924,8.06946e-05,8.06946e-05,8.06946e-05
33,7005.52,0.84313,0.45874,1.09048,0.80212,0.67733,0.76047,0.49282,1.47372,0.95601,1.75135,7.35598e-05,7.35598e-05,7.35598e-05
34,7217.52,0.83563,0.45256,1.08323,0.79606,0.68227,0.76175,0.4959,1.47102,0.95459,1.75219,6.6633e-05,6.6633e-05,6.6633e-05
35,7429.48,0.82551,0.44753,1.0765,0.79592,0.68364,0.76248,0.49909,1.46754,0.96319,1.75783,5.99414e-05,5.99414e-05,5.99414e-05
36,7641.44,0.81692,0.44092,1.07365,0.80032,0.68191,0.76282,0.49933,1.46285,0.95525,1.75961,5.35116e-05,5.35116e-05,5.35116e-05
37,7853.48,0.81565,0.44297,1.07243,0.79799,0.68488,0.76552,0.50422,1.45422,0.95522,1.75409,4.73688e-05,4.73688e-05,4.73688e-05
38,8065.49,0.81356,0.442,1.07032,0.80325,0.68099,0.76402,0.50183,1.45176,0.95214,1.75564,4.15373e-05,4.15373e-05,4.15373e-05
39,8276.99,0.80276,0.43609,1.06318,0.80286,0.67989,0.76365,0.50228,1.44864,0.95068,1.74851,3.60401e-05,3.60401e-05,3.60401e-05
